,company,blog,location,email_domain,bio,twitter_username,repos,readme
ALor79,,,,,,,mosaik/mosaik,
AbedAyyad,Energy Modelling Hub,https://abedayyadenergyguy.substack.com/,"Burnaby, BC ",uclmail.net,,,sesit/copper,Data Specialist - Data Specialist at Energy Modelling Hub
AdelineG,,,,,,,diw-evu/dieter_public/dieterpy,
Ahnaf-Ahmed,SESIT/EMH,,,,,,"sesit/copper,sesit/idea,sesit/silver",Lead Software Developer - Lead Software Developer at SESIT/EMH
AhnafUVIC,,,,,,,sesit/silver,
Chrele,,,,,,,mosaik/mosaik,
DEBBENER,,,,,,,mosaik/mosaik,
DanielFriedrich,,,,,,,"diw-evu/dieter_public/dieterpy,dlr-ve/esy/amiris/amiris",
DonnaVakalis,,,,,,,energyincities/python-ehub,
Ellariel,,,,,,,mosaik/mosaik,
EvanDungate,,,,,,,"sesit/copper,sesit/idea,sesit/silver",
FelixTUC,,,,,,,dlr-ve/esy/amiris/amiris,
FelixWollenhaupt,,,,,,,mosaik/mosaik,
Fiden99,,,,,,,smspp/smspp-project,
GiulianoCalabrese,,,,protonmail.com,,,smspp/smspp-project,Optimization - Optimization
Josephz96,,,,,,,dlr-ve/esy/amiris/amiris,
KriNiTi,,,,,,,"dlr-ve/esy/amiris/amiris,dlr-ve/esy/remix/framework,fame-framework/fame-core",
LKimmer,,,,,,,dlr-ve/esy/amiris/amiris,
LeonardWilleke,,,,,,,"dlr-ve/esy/amiris/amiris,fame-framework/fame-io",
LucieRC,,,,,,,dlr-ve/esy/amiris/amiris,
Ly0n,,,,,,,"diw-evu/dieter_public/dieterpy,dlr-ve/esy/amiris/amiris,energyincities/python-ehub,fame-framework/fame-core,mosaik/mosaik,smartgridtoolbox/smartgridtoolbox",
Madhura_y,,,,,,,dlr-ve/esy/remix/framework,
Mohammad-Arhum,,,,,,,mosaik/mosaik,
NathandeMatos99,,,,,,,"sesit/copper,sesit/silver",
RishabhUVic,,,,,,,sesit/idea,
SebastianBoblest,,,,,,,dlr-ve/esy/amiris/amiris,
SoroushMZ,,,,,,,energyincities/python-ehub,
TarMins,,,,,,,"dlr-ve/esy/amiris/amiris,dlr-ve/esy/remix/framework",
TomStesco,,tomstesco.com,"Toronto, Canada",,Data Scientist @ ecobee. Researching HVAC control in residential buildings.,,energyincities/python-ehub,
WvanAckooij,EDF R&D,https://www.researchgate.net/profile/Wim_Ackooij,,,,,smspp/smspp-project, - EDF R&D
achraf.elghazi,,,,,,,dlr-ve/esy/amiris/amiris,
ahilloffis,,,,,,,mosaik/mosaik,
alexander_roth,DIW Berlin,,"Berlin, Germany",diw.de,,,diw-evu/dieter_public/dieterpy, - DIW Berlin
